no_of_iteration,test_error,training_error
5850.0,0.2691085506230593,0.23771377094089985
5900.0,0.2689151410013437,0.23733420902863145
5950.0,0.2687316220253706,0.2369611575268209
6000.0,0.2685472443699837,0.23659206507727504
6050.0,0.2683533877134323,0.23622513515874746
6100.0,0.26816235296428204,0.2358569703064859
6150.0,0.2679776288568973,0.2354898317717016
6200.0,0.2678050752729177,0.23512613540515306
6250.0,0.2676406912505627,0.2347660595551133
6300.0,0.26748053915798664,0.23441408248618245
6350.0,0.2673354465514421,0.2340616211295128
6400.0,0.2672028951346874,0.2337096817791462
6450.0,0.2670521382242441,0.2333658761344849
6500.0,0.2669079862535,0.2330229035578668
6550.0,0.2667544800788164,0.23268059873953464
6600.0,0.2666130978614092,0.2323417444713413
6650.0,0.2664651535451412,0.23200569581240416
6700.0,0.26631203666329384,0.23167284950613976
6750.0,0.2661656867712736,0.2313406253233552
6800.0,0.26601592265069485,0.2310174847953021
6850.0,0.26588247902691364,0.2306876187212765
6900.0,0.2657572086900473,0.2303617191500961
6950.0,0.2656305357813835,0.23004084127023816
7000.0,0.2655233182013035,0.22971756430342802
7050.0,0.2653980553150177,0.22940060310065746
7100.0,0.26527149230241776,0.2290802523493767
7150.0,0.2651700545102358,0.2287613274529577
7200.0,0.2650797665119171,0.2284433823078871
7250.0,0.2649780493229628,0.22813200764358044
7300.0,0.2648667562752962,0.2278281785547733
7350.0,0.2647685222327709,0.2275241133756936
7400.0,0.2646641843020916,0.22721942979842424
7450.0,0.2645688373595476,0.2269185744225979
7500.0,0.2644738368690014,0.2266264529898763
7550.0,0.26439929194748396,0.22632836271077394
7600.0,0.26432280428707605,0.2260259008035064
7650.0,0.264243058860302,0.22572629246860745
7700.0,0.26419154740870004,0.2254227632656693
7750.0,0.2641506139189005,0.2251244988292456
7800.0,0.2641044147312641,0.22482618177309632
7850.0,0.26404950208961964,0.22452904004603624
7900.0,0.26398629508912563,0.22422872204333544
7950.0,0.26393276639282703,0.2239310713484884
8000.0,0.26387262530624866,0.22364017879590392
8050.0,0.2637964691966772,0.2233460247516632
8100.0,0.2637417186051607,0.22305079083889728
8150.0,0.26367723010480404,0.2227586624212563
8200.0,0.2636206652969122,0.2224629274569452
8250.0,0.26357308216392994,0.2221703538671136
8300.0,0.2635175604373217,0.2218808778561652
8350.0,0.26346759870648384,0.2215855927206576
8400.0,0.2634338978677988,0.22129361517727367
8450.0,0.2633897252380848,0.221002287697047
8500.0,0.2633368521928787,0.22071669856086373
8550.0,0.26329618878662586,0.22042972967028607
8600.0,0.2632380500435829,0.22015020344406366
8650.0,0.2631738744676113,0.2198705365881324
8700.0,0.2631004992872477,0.2195890289731324
8750.0,0.26304014213383203,0.2193108480423689
8800.0,0.26300154998898506,0.21903462149202824
8850.0,0.26295896992087364,0.21876044990494847
8900.0,0.2629059925675392,0.2184874624945224
8950.0,0.2628473825752735,0.21821525786072016
9000.0,0.2627861648797989,0.21794165764003992
9050.0,0.2627451028674841,0.21766508417204025
9100.0,0.2626998405903578,0.2173911342397332
9150.0,0.2626533694565296,0.2171208248473704
9200.0,0.2626096475869417,0.2168515184894204
9250.0,0.2625639569014311,0.2165827942080796
9300.0,0.2625099606812,0.21631725132465365
9350.0,0.2624786272644997,0.2160535021685064
9400.0,0.2624374236911535,0.2157881380990148
9450.0,0.2623984292149544,0.215524944011122
9500.0,0.262351967394352,0.2152637103572488
9550.0,0.26230402663350105,0.21499832533299928
9600.0,0.2622641883790493,0.2147328732535243
9650.0,0.26221729815006256,0.2144643720239401
9700.0,0.26216432824730873,0.21419763937592504
9750.0,0.2621132507920265,0.2139321961440146
9800.0,0.2620597127825022,0.2136672311462462
9850.0,0.2620138805359602,0.21340633602812886
9900.0,0.2619462292641401,0.2131487256847322
9950.0,0.26190136186778545,0.21288832323625684
10000.0,0.2618764098733664,0.2126286919228733
10050.0,0.2618372365832329,0.2123686014674604
10100.0,0.2618228495121002,0.21211054595187304
10150.0,0.2617889866232872,0.2118552098982036
10200.0,0.2617625333368778,0.21159998374059805
10250.0,0.26173840649425983,0.2113486155867577
10300.0,0.2617367133498192,0.21109524415805936
10350.0,0.2617202140390873,0.21084371116012326
10400.0,0.2617137245833874,0.2105906936340034
10450.0,0.26170909591019154,0.21033718064427376
10500.0,0.2616927120834589,0.21008701575919986
10550.0,0.2616805005818605,0.20983748929575088
10600.0,0.26168544963002205,0.20958300633355967
10650.0,0.2616823595017195,0.20933481585234406
10700.0,0.2616902310401201,0.20908740814775229
10750.0,0.2617137227207422,0.2088376400060952
10800.0,0.26172627694904804,0.20859550777822733
10850.0,0.2617522813379765,0.2083533899858594
10900.0,0.2617550790309906,0.20811532018706205
10950.0,0.2617655768990517,0.20787805039435625
11000.0,0.2617878075689077,0.20763812772929668
11050.0,0.26181492395699024,0.20740043139085174
11100.0,0.26183968409895897,0.20716606872156265
11150.0,0.26186035387218,0.20693105552345514
11200.0,0.26187519915401936,0.2066952297464013
11250.0,0.26188964396715164,0.2064627194777131
11300.0,0.26190377771854395,0.20622982131317247
11350.0,0.2619457859545946,0.20599546236917374
11400.0,0.2619701288640499,0.20576463593170047
11450.0,0.2619953341782093,0.20553417364135385
11500.0,0.2620366979390383,0.2053007879294455
11550.0,0.2620821204036474,0.20507133193314075
11600.0,0.26213961467146873,0.2048435201868415
11650.0,0.2622020039707422,0.20461420621722934
11700.0,0.2622531447559595,0.2043871283531189
11750.0,0.26229920610785484,0.20416039926931265
11800.0,0.2623549848794937,0.2039343914948404
11850.0,0.26242972165346146,0.2037085434421897
11900.0,0.2624986469745636,0.2034830674529076
11950.0,0.26258536241948605,0.2032554354518652
12000.0,0.26264799013733864,0.2030288432724774
12050.0,0.26273562014102936,0.20279468037188053
12100.0,0.2627974506467581,0.20257074339315287
12150.0,0.26287276670336723,0.2023459752090276
12200.0,0.262939790263772,0.2021259255707264
12250.0,0.26302657276391983,0.2019035997800529
12300.0,0.2631101384758949,0.2016799282282591
12350.0,0.2631931360810995,0.20145651139318946
12400.0,0.26324599236249924,0.20123501541092992
12450.0,0.26329081505537033,0.2010145443491637
12500.0,0.2633397672325373,0.20079324720427394
12550.0,0.2633930444717407,0.2005748548544944
12600.0,0.2634799163788557,0.2003539800643921
12650.0,0.2635591458529234,0.20013405801728368
12700.0,0.26363759487867355,0.19991529313847425
12750.0,0.26372432336211205,0.19969729147851467
12800.0,0.2638315502554178,0.19947764603421086
12850.0,0.2639447040855885,0.19925769418478007
12900.0,0.26403423212468624,0.1990395826287568
12950.0,0.26411149837076664,0.19882087921723726
13000.0,0.26420402340590954,0.19860123470425609
13050.0,0.2642779853194952,0.19838252663612368
13100.0,0.2643437031656504,0.1981670092791319
13150.0,0.2644054852426052,0.19795311242341995
13200.0,0.26446453295648104,0.1977416416630149
13250.0,0.2645584288984537,0.1975148618221283
13300.0,0.2646455802023411,0.1972924377769232
13350.0,0.26472923159599304,0.19707155553624034
13400.0,0.26482540741562843,0.1968535566702485
13450.0,0.26492086611688137,0.19663909822702408
13500.0,0.2650336641818285,0.19642576947808266
13550.0,0.2651378083974123,0.19621522957459087
13600.0,0.265243262052536,0.1959999711252749
13650.0,0.2653526626527309,0.19578962726518512
13700.0,0.2654483374208212,0.19558180822059512
13750.0,0.2655482329428196,0.19537307461723685
13800.0,0.2656294722110033,0.19516855012625456
13850.0,0.2657329887151718,0.19495962234213948
13900.0,0.2658203076571226,0.19475657679140568
13950.0,0.2659091167151928,0.19455709727481008
14000.0,0.2659838926047087,0.1943586259149015
14050.0,0.26606500521302223,0.1941575836390257
14100.0,0.26616698130965233,0.1939559378661216
14150.0,0.26626868546009064,0.1937572816386819
14200.0,0.26636449433863163,0.1935595483519137
14250.0,0.2664429359138012,0.1933670500293374
14300.0,0.26653446815907955,0.19317279942333693
14350.0,0.2666294705122709,0.19297792622819546
14400.0,0.2667352259159088,0.19278142834082249
14450.0,0.2668178118765354,0.19259111396968365
14500.0,0.266884109005332,0.19240144826471808
14550.0,0.2669527009129524,0.19220776436850429
14600.0,0.2670440673828125,0.19201485021039846
14650.0,0.26712438091635704,0.19182597333565354
14700.0,0.2671994064003229,0.1916366908699274
14750.0,0.26726136915385723,0.191448487341404
14800.0,0.2673428896814585,0.1912619424983859
14850.0,0.26742616668343544,0.1910746330395341
14900.0,0.267516378313303,0.1908837091177702
14950.0,0.2675904519855976,0.1907007857225836
15000.0,0.2676690518856049,0.1905164965428412
15050.0,0.2677392717450857,0.19033311493694785
15100.0,0.2678159549832344,0.1901543498970568
15150.0,0.26790207251906395,0.1899718358181417
15200.0,0.2679796926677227,0.18979067401960487
15250.0,0.2680500987917185,0.18961279513314366
15300.0,0.2681273799389601,0.18943323148414493
15350.0,0.26820548437535763,0.189252158626914
15400.0,0.2682943996042013,0.18906891765072945
15450.0,0.2683785390108824,0.18888958357274527
15500.0,0.2684626672416925,0.18871238129213447
15550.0,0.2685461118817329,0.1885365634225309
15600.0,0.2686380688101053,0.18835985101759434
15650.0,0.26872668974101543,0.18818523734807968
15700.0,0.26881740987300873,0.1880085999146104
15750.0,0.2689242828637361,0.1878312504850328
15800.0,0.26901875622570515,0.1876585301943124
15850.0,0.26912069879472256,0.1874822899699211
15900.0,0.2692338041961193,0.1873050513677299
15950.0,0.26930563151836395,0.18713181652128694
16000.0,0.2693766634911299,0.1869601183570921
16050.0,0.2694576177746057,0.186788777820766
16100.0,0.2695569805800915,0.1866140221245587
16150.0,0.2696589380502701,0.18644136376678944
16200.0,0.2697713430970907,0.1862675747834146
16250.0,0.26988448202610016,0.18609526148065925
16300.0,0.26998118311166763,0.18592588137835264
16350.0,0.2700646370649338,0.18576179491356007
16400.0,0.2701689954847097,0.18559388071298602
16450.0,0.2702630124986172,0.18542848527431488
16500.0,0.2703759465366602,0.18526045326143506
16550.0,0.27047055400907993,0.18509637797251344
16600.0,0.2705797366797924,0.18493282701820127
16650.0,0.2707015071064234,0.1847676178440452
16700.0,0.27081021293997765,0.18460634723305705
16750.0,0.2709053047001362,0.18444627616554501
16800.0,0.27101654186844826,0.1842816513963044
16850.0,0.27112713269889355,0.18411854095757008
16900.0,0.27122427336871624,0.18395976396277547
16950.0,0.2713189162313938,0.18379969662055373
17000.0,0.2714149560779333,0.183639818802476
17050.0,0.27149579860270023,0.18348184693604708
17100.0,0.2715877927839756,0.18332217773422602
17150.0,0.2716729734092951,0.1831657476723194
17200.0,0.2717433013021946,0.1830128864385188
17250.0,0.27183083817362785,0.1828563534654677
17300.0,0.2719120662659407,0.18270032806321976
17350.0,0.27201599813997746,0.1825421270914376
17400.0,0.2721023801714182,0.18238708516582847
17450.0,0.2721941191703081,0.18223223323002447
17500.0,0.2722681574523449,0.18207883555442086
17550.0,0.2723703943192959,0.1819208892993629
17600.0,0.27244984172284603,0.1817682404071093
17650.0,0.2725400757044554,0.18161402689293027
17700.0,0.2726187519729137,0.18146185157820585
17750.0,0.27271077036857605,0.181309646461159
17800.0,0.2728111892938614,0.18115630839020014
17850.0,0.2728991657495499,0.1810054937377572
17900.0,0.2729942090809345,0.1808531596325338
17950.0,0.27309432812035084,0.1806996250525117
18000.0,0.27317966893315315,0.1805464765056968
18050.0,0.2732693627476692,0.18039639247581365
18100.0,0.27335269935429096,0.1802463778294623
18150.0,0.27342495135962963,0.18009694991633296
18200.0,0.2735041063278913,0.17994831362739205
18250.0,0.2735719997435808,0.17979933694005013
18300.0,0.273660846054554,0.17965039936825633
18350.0,0.2737640980631113,0.17950046574696898
18400.0,0.2738551460206509,0.1793529069982469
18450.0,0.2739555276930332,0.17920431029051542
18500.0,0.2740401979535818,0.17905561439692974
18550.0,0.27411583438515663,0.1789082963950932
18600.0,0.27419902198016644,0.17876203823834658
18650.0,0.27429757080972195,0.17861453723162413
18700.0,0.274390060454607,0.17846795916557312
18750.0,0.2744965888559818,0.1783196642063558
18800.0,0.27459328062832355,0.17817450501024726
18850.0,0.27467253990471363,0.17803375655785206
18900.0,0.2747766226530075,0.1778859249316156
18950.0,0.27487471513450146,0.17774014919996262
19000.0,0.27496957406401634,0.17759309243410826
19050.0,0.27506027370691305,0.1774465232156217
19100.0,0.27515872567892075,0.17730225110426545
19150.0,0.27525062672793865,0.1771599999628961
19200.0,0.2753462512046099,0.17701574601233006
19250.0,0.2754427026957273,0.1768717127852142
19300.0,0.2755441814661026,0.1767276837490499
19350.0,0.2756449356675148,0.17658566404134035
19400.0,0.2757547162473202,0.17644247692078352
